id,lat,lon,radius_m,label
13471530857,35.195720,-82.136860,300,NC-30857
13464754452,35.197080,-82.228100,300,NC-54452
13464751828,35.202430,-82.223030,300,NC-51828
13306486402,35.222980,-82.051610,300,NC-86402
13309957509,35.226510,-82.237990,300,NC-57509
13483913801,35.241790,-81.998970,300,NC-13801
13308361870,35.244260,-82.207240,300,NC-61870
13409456701,35.247210,-82.204680,300,NC-56701
13624904370,35.253650,-82.201180,300,NC-04370
13477875401,35.255040,-82.195100,300,NC-75401
13409457001,35.257020,-82.192490,300,NC-57001
13306474101,35.299000,-82.163680,300,NC-74101
13306475701,35.299640,-82.163990,300,NC-75701
13720829301,35.307300,-81.916740,300,NC-29301
13306482301,35.314700,-82.223000,300,NC-82301
13306483301,35.320110,-82.226740,300,NC-83301
13617859101,35.323670,-82.227420,300,NC-59101
13617852201,35.332480,-82.235460,300,NC-52201
13617855201,35.337420,-82.230490,300,NC-55201
13306465401,35.340860,-81.962840,300,NC-65401
13584784701,35.341030,-81.962920,300,NC-84701
