id,lat,lon,radius_m,label
13438214501,30.616320,-81.547920,300,FL-14501
13438213101,30.616620,-81.547350,300,FL-13101
13245044872,30.618490,-81.517400,300,FL-44872
13244944380,30.618920,-81.517350,300,FL-44380
13245045161,30.620040,-81.520110,300,FL-45161
13414173101,30.624920,-81.547990,300,FL-73101
13313164425,30.624940,-81.547910,300,FL-64425
13414199301,30.625480,-81.545980,300,FL-99301
13413821101,30.626350,-81.547110,300,FL-21101
13313164423,30.626350,-81.547090,300,FL-64423
13313164424,30.626390,-81.547670,300,FL-64424
13413831601,30.626420,-81.547590,300,FL-31601
13413835801,30.633630,-81.548380,300,FL-35801
13414212301,30.637540,-81.529880,300,FL-12301
13414834501,30.639850,-81.529990,300,FL-34501
13536615801,30.670690,-81.458940,300,FL-15801
13313164426,30.670890,-81.459020,300,FL-64426
