id,lat,lon,radius_m,label
13339485901,29.418620,-81.209080,300,FL-85901
13755648801,29.436390,-81.233980,300,FL-48801
13334262401,29.441840,-81.214500,300,FL-62401
13334347501,29.441840,-81.214500,300,FL-47501
13796673501,29.464120,-81.255040,300,FL-73501
13379895901,29.468700,-81.314780,300,FL-95901
13921414301,29.486210,-81.216530,300,FL-14301
13123802028,29.537440,-81.205730,300,FL-02028
13591656701,29.539690,-81.522820,300,FL-56701
13591654602,29.540450,-81.522970,300,FL-54602
13122104938,29.550680,-81.220660,300,FL-04938
13122104939,29.551080,-81.221050,300,FL-04939
13122104940,29.551560,-81.221510,300,FL-04940
13618961901,29.556080,-81.267930,300,FL-61901
13122851302,29.574560,-81.276110,300,FL-51302
446186073,29.652330,-81.276570,300,FL-86073
100206931,29.652650,-81.277010,300,FL-06931
13470929356,29.653050,-81.276850,300,FL-29356
13470956489,29.663620,-81.287430,300,FL-56489
12604011514,29.663970,-81.287510,300,FL-11514
12755123272,29.664500,-81.414450,300,FL-23272
12755123273,29.664530,-81.414450,300,FL-23273
13364325425,29.665920,-81.294050,300,FL-25425
13364362458,29.666180,-81.293810,300,FL-62458
12754755020,29.670990,-81.213880,300,FL-55020
12754877831,29.680910,-81.471210,300,FL-77831
12755079472,29.713390,-81.508290,300,FL-79472
12755079469,29.714250,-81.508030,300,FL-79469
12755079471,29.714500,-81.508360,300,FL-79471
12755079470,29.714730,-81.508130,300,FL-79470
13758913201,29.725550,-81.481750,300,FL-13201
13758903301,29.725680,-81.481490,300,FL-03301
12604011516,29.747240,-81.348720,300,FL-11516
12604011515,29.748530,-81.344960,300,FL-11515
