id,lat,lon,radius_m,label
13806269001,38.634540,-77.672380,300,VA-69001
13288196901,38.659200,-77.368360,300,VA-96901
13830833501,38.660600,-77.636620,300,VA-33501
13352336633,38.703610,-77.664880,300,VA-36633
13442687701,38.734200,-77.538080,300,VA-87701
13442688101,38.734200,-77.538080,300,VA-88101
13918067801,38.742140,-77.531760,300,VA-67801
5278650513,38.755760,-77.523400,300,VA-50513
13228864800,38.757000,-77.519900,300,VA-64800
13468947203,38.757830,-77.435920,300,VA-47203
13468948101,38.758910,-77.438120,300,VA-48101
13863589801,38.761520,-77.460760,300,VA-89801
13899726404,38.767690,-77.485400,300,VA-26404
13684908101,38.771050,-77.444180,300,VA-08101
13684915501,38.772160,-77.442620,300,VA-15501
13610448901,38.777190,-77.502600,300,VA-48901
13462905402,38.778140,-77.460770,300,VA-05402
13358281202,38.778220,-77.681180,300,VA-81202
13759104941,38.780220,-77.502340,300,VA-04941
13468875501,38.781560,-77.475800,300,VA-75501
13447242201,38.782020,-77.487070,300,VA-42201
13860151601,38.783660,-77.554000,300,VA-51601
13358282803,38.784820,-77.525690,300,VA-82803
13431690902,38.787430,-77.520740,300,VA-90902
13543221301,38.790500,-77.509840,300,VA-21301
13543223201,38.790750,-77.510930,300,VA-23201
13543226001,38.791200,-77.510560,300,VA-26001
13814405202,38.791730,-77.513680,300,VA-05202
13543221302,38.791860,-77.510600,300,VA-21302
13701569601,38.792120,-77.514820,300,VA-69601
13543221303,38.792540,-77.512010,300,VA-21303
13891638101,38.792560,-77.524750,300,VA-38101
13858778702,38.793540,-77.514260,300,VA-78702
13543228001,38.793560,-77.510770,300,VA-28001
13858778401,38.793660,-77.514870,300,VA-78401
13539500201,38.795560,-77.509960,300,VA-00201
13539498001,38.795570,-77.509900,300,VA-98001
13184138847,38.795660,-77.509610,300,VA-38847
5604860593,38.795740,-77.604150,300,VA-60593
12352484254,38.796250,-77.605590,300,VA-84254
13525294501,38.796370,-77.504860,300,VA-94501
13525296601,38.796460,-77.504010,300,VA-96601
13899878502,38.798460,-77.613910,300,VA-78502
13674458802,38.798820,-77.499490,300,VA-58802
13685926301,38.798830,-77.499470,300,VA-26301
13438061501,38.808280,-77.627800,300,VA-61501
13438064803,38.808300,-77.637900,300,VA-64803
13438058201,38.815310,-77.642970,300,VA-58201
13438064801,38.816320,-77.633850,300,VA-64801
13431300301,38.835730,-77.436370,300,VA-00301
13396066601,38.836980,-77.436300,300,VA-66601
13419252501,38.837170,-77.439830,300,VA-52501
13711691601,38.837190,-77.438440,300,VA-91601
13396064201,38.837550,-77.436350,300,VA-64201
13419252601,38.837570,-77.439980,300,VA-52601
13431300801,38.837910,-77.436970,300,VA-00801
13438893775,38.839020,-77.441040,300,VA-93775
13419252201,38.839240,-77.436660,300,VA-52201
