id,lat,lon,radius_m,label
13608711122,35.037020,-79.108910,300,NC-11122
13608684830,35.037130,-79.109090,300,NC-84830
13764658033,35.048890,-79.428990,300,NC-58033
13608729465,35.113570,-79.427080,300,NC-29465
13194722122,35.115900,-79.388070,300,NC-22122
13629256701,35.116340,-79.416720,300,NC-56701
13608746322,35.125670,-79.435290,300,NC-46322
13608734916,35.134040,-79.428460,300,NC-34916
13422280080,35.148350,-79.398370,300,NC-80080
12566437054,35.154180,-79.385270,300,NC-37054
13608719994,35.155230,-79.414620,300,NC-19994
13593474901,35.162910,-79.420960,300,NC-74901
12851741386,35.163080,-79.420760,300,NC-41386
12851709558,35.163850,-79.421000,300,NC-09558
12851702575,35.164470,-79.420530,300,NC-02575
13618720852,35.166110,-79.422930,300,NC-20852
12566436094,35.171730,-79.409810,300,NC-36094
12920407381,35.174720,-79.414570,300,NC-07381
12566417535,35.196530,-79.402360,300,NC-17535
13892544702,35.196680,-79.403100,300,NC-44702
13911004563,35.201850,-79.166950,300,NC-04563
13612980559,35.210350,-79.160810,300,NC-80559
13612980558,35.210410,-79.160510,300,NC-80558
13588469401,35.237140,-79.402160,300,NC-69401
13787887042,35.244350,-79.345720,300,NC-87042
13809980001,35.306530,-79.417830,300,NC-80001
13806880202,35.342920,-79.395800,300,NC-80202
