id,lat,lon,radius_m,label
13453746104,28.756070,-81.559970,300,FL-46104
13324346701,28.765130,-81.559950,300,FL-46701
13453746504,28.765160,-81.560060,300,FL-46504
13535340501,28.785970,-81.638020,300,FL-40501
13788627501,28.786010,-81.638160,300,FL-27501
13688740502,28.802350,-81.887680,300,FL-40502
13688749801,28.803020,-81.887230,300,FL-49801
13688753101,28.803100,-81.889600,300,FL-53101
13688756401,28.803580,-81.887530,300,FL-56401
13524300102,28.815200,-81.873090,300,FL-00102
12425595011,28.821190,-81.674890,300,FL-95011
13532266302,28.822570,-81.644000,300,FL-66302
13464600801,28.822660,-81.835570,300,FL-00801
13171544165,28.823050,-81.643680,300,FL-44165
12376583336,28.823510,-81.664540,300,FL-83336
12425573295,28.823750,-81.691600,300,FL-73295
12427737213,28.824140,-81.657610,300,FL-37213
12376317277,28.824480,-81.645670,300,FL-17277
13431680601,28.825770,-81.647540,300,FL-80601
12427737212,28.825840,-81.644030,300,FL-37212
12425527976,28.826610,-81.644100,300,FL-27976
13839753842,28.836930,-81.891530,300,FL-53842
13451837174,28.851580,-81.560980,300,FL-37174
13920836902,28.853110,-81.654060,300,FL-36902
13470956492,28.858400,-81.653370,300,FL-56492
12552598945,28.858460,-81.638520,300,FL-98945
13318352901,28.872160,-81.696510,300,FL-52901
13735933701,28.873030,-81.671200,300,FL-33701
13849320402,28.873670,-81.688240,300,FL-20402
13735892602,28.877160,-81.720780,300,FL-92602
13735892603,28.877460,-81.720790,300,FL-92603
13083983837,28.960590,-81.651140,300,FL-83837
13083983838,28.962470,-81.650330,300,FL-83838
13389586201,28.963840,-81.645320,300,FL-86201
13591653274,28.964060,-81.644450,300,FL-53274
13439986302,28.964070,-81.645640,300,FL-86302
13389586501,28.971320,-81.646800,300,FL-86501
13083983839,28.971440,-81.646650,300,FL-83839
13083983840,28.971450,-81.646870,300,FL-83840
