id,lat,lon,radius_m,label
13503122601,38.556320,-76.982680,300,MD-22601
13614994201,38.577380,-76.922950,300,MD-94201
13861199601,38.642010,-76.898610,300,MD-99601
13452734601,38.643320,-76.895460,300,MD-34601
13704212701,38.645790,-76.892350,300,MD-12701
13422264501,38.647390,-76.893920,300,MD-64501
12688666831,38.686440,-76.654730,300,MD-66831
13615359102,38.730770,-76.992740,300,MD-59102
13615359101,38.730880,-76.992560,300,MD-59101
13615346602,38.731660,-76.993060,300,MD-46602
13615355501,38.731860,-76.992820,300,MD-55501
13419171402,38.750270,-76.879680,300,MD-71402
13419174401,38.750650,-76.879550,300,MD-74401
13419106301,38.766790,-76.886990,300,MD-06301
13819562701,38.766860,-76.890400,300,MD-62701
13419104901,38.766880,-76.887670,300,MD-04901
13836290402,38.766960,-76.889810,300,MD-90402
13805528702,38.767080,-76.888860,300,MD-28702
13836328301,38.767240,-76.888090,300,MD-28301
13615361901,38.767330,-76.988830,300,MD-61901
13805528701,38.767500,-76.887080,300,MD-28701
13419164201,38.771080,-76.888260,300,MD-64201
13615372901,38.805530,-76.976990,300,MD-72901
13615374101,38.805640,-76.974640,300,MD-74101
13250740511,38.811470,-76.702490,300,MD-40511
13250740512,38.811570,-76.702820,300,MD-40512
13615377701,38.814840,-76.996070,300,MD-77701
13615376101,38.815280,-76.998960,300,MD-76101
13176103781,38.817810,-76.738280,300,MD-03781
13175804905,38.819470,-76.737160,300,MD-04905
13688412152,38.820590,-76.835050,300,MD-12152
13688412153,38.820590,-76.835050,300,MD-12153
13697698639,38.821920,-76.833250,300,MD-98639
13616132701,38.824400,-76.892390,300,MD-32701
13616132401,38.824500,-76.891900,300,MD-32401
13605588701,38.831910,-76.878740,300,MD-88701
13606026701,38.832990,-76.882560,300,MD-26701
