id,lat,lon,radius_m,label
13733384901,26.600800,-80.090010,300,FL-84901
13578157001,26.601830,-80.069770,300,FL-57001
13483169901,26.603830,-80.077250,300,FL-69901
13483166701,26.608760,-80.067810,300,FL-66701
13483165901,26.609070,-80.066680,300,FL-65901
13565435101,26.615200,-80.040970,300,FL-35101
13565433701,26.615420,-80.040960,300,FL-33701
13483157601,26.616630,-80.067520,300,FL-57601
13483157901,26.616870,-80.066660,300,FL-57901
13483150901,26.616890,-80.074520,300,FL-50901
13483150301,26.617120,-80.073820,300,FL-50301
13485176001,26.618010,-80.097160,300,FL-76001
13485177701,26.618440,-80.108630,300,FL-77701
13485177702,26.618480,-80.109270,300,FL-77702
13485178701,26.619010,-80.110710,300,FL-78701
13879134201,26.622050,-80.113150,300,FL-34201
13565454301,26.623800,-80.038660,300,FL-54301
13485176801,26.627460,-80.075400,300,FL-76801
13483140601,26.627720,-80.064970,300,FL-40601
13544764703,26.627770,-80.074920,300,FL-64703
13483145301,26.627820,-80.075610,300,FL-45301
13483148701,26.627940,-80.074890,300,FL-48701
13483139301,26.627960,-80.064950,300,FL-39301
13726501503,26.628060,-80.077150,300,FL-01503
13753659701,26.628120,-80.080580,300,FL-59701
13726501502,26.628220,-80.075730,300,FL-01502
13628225501,26.628350,-80.075420,300,FL-25501
13879136001,26.628620,-80.097010,300,FL-36001
13563425401,26.636380,-80.072300,300,FL-25401
13551476701,26.639810,-80.052390,300,FL-76701
13508027501,26.641780,-80.056360,300,FL-27501
13894933802,26.642900,-80.088650,300,FL-33802
13733934901,26.643130,-80.056520,300,FL-34901
13483020703,26.643540,-80.056500,300,FL-20703
13551471101,26.643850,-80.052470,300,FL-71101
13854348901,26.645120,-80.056360,300,FL-48901
13894933801,26.645140,-80.101150,300,FL-33801
13855101301,26.645160,-80.056180,300,FL-01301
13894933301,26.645260,-80.101160,300,FL-33301
13896716301,26.645920,-80.104430,300,FL-16301
13563409501,26.649850,-80.079820,300,FL-09501
13896707801,26.651040,-80.104430,300,FL-07801
13544493501,26.653450,-80.074920,300,FL-93501
13563414501,26.654370,-80.072450,300,FL-14501
13544491701,26.655060,-80.112510,300,FL-91701
13483112601,26.655180,-80.073620,300,FL-12601
13628543801,26.655300,-80.065920,300,FL-43801
13544484801,26.662510,-80.101060,300,FL-84801
13544482401,26.666370,-80.090280,300,FL-82401
13694211501,26.675780,-80.039670,300,FL-11501
13776491701,26.675820,-80.066430,300,FL-91701
13694208401,26.675950,-80.039440,300,FL-08401
13515450701,26.676110,-80.075110,300,FL-50701
13515440602,26.676120,-80.064300,300,FL-40602
13515450702,26.676550,-80.074220,300,FL-50702
13515456501,26.677440,-80.099310,300,FL-56501
13515454601,26.677470,-80.099310,300,FL-54601
13900753701,26.686900,-80.111630,300,FL-53701
13900753401,26.687530,-80.111940,300,FL-53401
13900772301,26.690460,-80.065630,300,FL-72301
13900774701,26.690780,-80.065510,300,FL-74701
13368127701,26.691540,-80.089670,300,FL-27701
13621569601,26.691660,-80.098450,300,FL-69601
13639224801,26.692520,-80.086780,300,FL-24801
13639224901,26.692980,-80.086740,300,FL-24901
13452659066,26.701820,-80.041190,300,FL-59066
13352176301,26.702310,-80.053800,300,FL-76301
13908051301,26.705690,-80.071670,300,FL-51301
13694227701,26.705730,-80.044370,300,FL-27701
13694230901,26.705960,-80.043980,300,FL-30901
13908048602,26.705990,-80.067330,300,FL-48602
13639222603,26.707240,-80.113530,300,FL-22603
13639238301,26.707290,-80.115120,300,FL-38301
13639222602,26.707310,-80.116160,300,FL-22602
13389239012,26.707900,-80.043530,300,FL-39012
13389244008,26.707940,-80.043520,300,FL-44008
13389254257,26.712550,-80.043230,300,FL-54257
13346211101,26.712660,-80.097210,300,FL-11101
13900171302,26.713370,-80.100070,300,FL-71302
13433064279,26.713430,-80.098800,300,FL-64279
13900145302,26.713520,-80.101620,300,FL-45302
13900168202,26.713580,-80.100120,300,FL-68202
13900145001,26.713860,-80.101110,300,FL-45001
13900145701,26.714170,-80.100530,300,FL-45701
13900145301,26.714170,-80.100490,300,FL-45301
13389224699,26.714440,-80.042420,300,FL-24699
13433063399,26.715080,-80.100980,300,FL-63399
13708328601,26.715180,-80.101680,300,FL-28601
12380694233,26.715330,-80.080790,300,FL-94233
12380694234,26.715350,-80.080790,300,FL-94234
13805069701,26.716960,-80.093510,300,FL-69701
13433085839,26.717010,-80.102180,300,FL-85839
13389247019,26.717940,-80.043100,300,FL-47019
12442324336,26.718270,-80.042590,300,FL-24336
13256051909,26.722920,-80.101870,300,FL-51909
13255971794,26.722940,-80.101660,300,FL-71794
13256041510,26.723040,-80.102010,300,FL-41510
13256051911,26.723080,-80.102090,300,FL-51911
13389241671,26.724410,-80.042050,300,FL-41671
13389241672,26.724510,-80.042040,300,FL-41672
13588911101,26.727110,-80.055090,300,FL-11101
