id,lat,lon,radius_m,label
12754564052,30.102820,-81.518460,300,FL-64052
12755712103,30.102930,-81.495960,300,FL-12103
12612791898,30.102950,-81.518490,300,FL-91898
12612791896,30.103090,-81.518830,300,FL-91896
12612791897,30.103200,-81.518420,300,FL-91897
12732261627,30.103310,-81.539210,300,FL-61627
12612791895,30.103350,-81.518650,300,FL-91895
12754564050,30.103770,-81.518990,300,FL-64050
12732147077,30.104100,-81.540110,300,FL-47077
12617938966,30.104610,-81.479570,300,FL-38966
12612791894,30.104690,-81.479060,300,FL-91894
12783804081,30.104710,-81.479030,300,FL-04081
12617938965,30.104800,-81.479240,300,FL-38965
12617938964,30.104970,-81.479130,300,FL-38964
12783804080,30.105070,-81.479040,300,FL-04080
12754544675,30.112800,-81.417710,300,FL-44675
12754578062,30.113940,-81.424640,300,FL-78062
12754593465,30.119500,-81.405490,300,FL-93465
12754519084,30.122860,-81.400380,300,FL-19084
13738748901,30.132570,-81.531430,300,FL-48901
13359233601,30.136670,-81.535600,300,FL-33601
12755893533,30.137420,-81.380700,300,FL-93533
12755893532,30.145240,-81.377360,300,FL-93532
12755913722,30.151520,-81.377120,300,FL-13722
12754551745,30.160270,-81.362660,300,FL-51745
12754579565,30.160860,-81.360070,300,FL-79565
12754579566,30.161120,-81.359830,300,FL-79566
13827711601,30.161300,-81.385860,300,FL-11601
12754565408,30.161510,-81.361150,300,FL-65408
13506588901,30.167630,-81.539950,300,FL-88901
12754634322,30.248240,-81.387750,300,FL-34322
12754634320,30.248690,-81.388640,300,FL-34320
12754634321,30.248780,-81.387680,300,FL-34321
13378618601,30.251920,-81.459560,300,FL-18601
13809307166,30.252280,-81.465350,300,FL-07166
13166841319,30.252410,-81.527530,300,FL-41319
12754551894,30.252890,-81.381910,300,FL-51894
12754599664,30.252930,-81.381820,300,FL-99664
13900220401,30.253010,-81.389070,300,FL-20401
13807028617,30.254280,-81.528060,300,FL-28617
13250061290,30.254430,-81.536420,300,FL-61290
13449314064,30.254440,-81.536170,300,FL-14064
1493986360,30.254640,-81.536310,300,FL-86360
13458711401,30.255200,-81.497400,300,FL-11401
13819013901,30.255230,-81.444870,300,FL-13901
13166864130,30.255450,-81.527940,300,FL-64130
13527622601,30.255700,-81.400710,300,FL-22601
13378296103,30.255950,-81.394340,300,FL-96103
13166857267,30.256480,-81.528080,300,FL-57267
13598448801,30.257260,-81.387800,300,FL-48801
13452620301,30.257660,-81.434960,300,FL-20301
13448487561,30.257930,-81.528380,300,FL-87561
13695897101,30.258330,-81.417260,300,FL-97101
13604050801,30.258330,-81.417240,300,FL-50801
13446878201,30.259000,-81.528080,300,FL-78201
13448591062,30.260180,-81.528620,300,FL-91062
13250072119,30.261630,-81.528280,300,FL-72119
12861225860,30.261870,-81.524990,300,FL-25860
13458712401,30.262260,-81.498360,300,FL-12401
13458711402,30.263930,-81.495460,300,FL-11402
13172003987,30.267700,-81.522730,300,FL-03987
13449305686,30.267820,-81.523620,300,FL-05686
12537540361,30.269050,-81.515910,300,FL-40361
13550973869,30.279100,-81.525920,300,FL-73869
13628457708,30.280610,-81.518700,300,FL-57708
13628458098,30.280630,-81.518460,300,FL-58098
12537538771,30.281210,-81.510330,300,FL-38771
12537573103,30.282330,-81.510860,300,FL-73103
13597063801,30.287880,-81.427120,300,FL-63801
13621219602,30.287910,-81.417910,300,FL-19602
13597063901,30.288290,-81.427140,300,FL-63901
13198001977,30.289060,-81.400060,300,FL-01977
13198001976,30.289140,-81.400790,300,FL-01976
13198001978,30.289610,-81.400150,300,FL-01978
13198001975,30.289660,-81.400850,300,FL-01975
13613120701,30.306670,-81.395320,300,FL-20701
13438051801,30.307020,-81.406490,300,FL-51801
13372992401,30.307850,-81.406720,300,FL-92401
13291155005,30.308390,-81.395940,300,FL-55005
12407779593,30.320320,-81.468150,300,FL-79593
13322779901,30.320940,-81.453830,300,FL-79901
13322779401,30.321050,-81.452390,300,FL-79401
13322779402,30.321130,-81.453850,300,FL-79402
13322779101,30.321130,-81.452540,300,FL-79101
13322781701,30.321730,-81.451000,300,FL-81701
13322781601,30.321860,-81.450840,300,FL-81601
13891618302,30.324130,-81.427430,300,FL-18302
13447278801,30.324430,-81.398040,300,FL-78801
13701123901,30.324510,-81.426940,300,FL-23901
13891607201,30.324750,-81.399150,300,FL-07201
13597064001,30.326960,-81.548720,300,FL-64001
13311905501,30.332640,-81.406280,300,FL-05501
13336319701,30.332900,-81.414900,300,FL-19701
13436464501,30.335700,-81.417050,300,FL-64501
13436194601,30.340990,-81.413360,300,FL-94601
13625013702,30.341570,-81.413140,300,FL-13702
13520179101,30.362560,-81.421580,300,FL-79101
13520179102,30.362670,-81.421710,300,FL-79102
