id,lat,lon,radius_m,label
13416344301,40.600390,-74.372530,300,NJ-44301
13604165402,40.600670,-74.305190,300,NJ-65402
13379215101,40.602710,-74.534030,300,NJ-15101
13379214201,40.602710,-74.533970,300,NJ-14201
13323285431,40.604100,-74.476300,300,NJ-85431
13785610301,40.606370,-74.260500,300,NJ-10301
13686565801,40.610060,-74.464400,300,NJ-65801
13388652101,40.610070,-74.463690,300,NJ-52101
13388652401,40.610130,-74.463820,300,NJ-52401
13414801601,40.611720,-74.333100,300,NJ-01601
13641484701,40.613370,-74.233690,300,NJ-84701
13379211101,40.615140,-74.494490,300,NJ-11101
13836978301,40.617940,-74.341700,300,NJ-78301
13315564362,40.618830,-74.264760,300,NJ-64362
13379210101,40.621680,-74.482490,300,NJ-10101
13379210901,40.621680,-74.482390,300,NJ-10901
13388651201,40.622220,-74.435410,300,NJ-51201
12788448928,40.624360,-74.251460,300,NJ-48928
13364315701,40.625750,-74.331140,300,NJ-15701
13388651501,40.626620,-74.437400,300,NJ-51501
13830141501,40.627770,-74.315030,300,NJ-41501
13343640821,40.628030,-74.306030,300,NJ-40821
13047647426,40.628150,-74.271990,300,NJ-47426
13047647424,40.628580,-74.271420,300,NJ-47424
13460754445,40.628700,-74.324460,300,NJ-54445
13442057801,40.629510,-74.249890,300,NJ-57801
13712003601,40.630610,-74.252540,300,NJ-03601
13326606874,40.632490,-74.368770,300,NJ-06874
13460802620,40.632660,-74.313500,300,NJ-02620
13335604708,40.632940,-74.313690,300,NJ-04708
13341378201,40.633810,-74.445690,300,NJ-78201
13047647445,40.634410,-74.281770,300,NJ-47445
12788650186,40.634530,-74.352670,300,NJ-50186
12743703804,40.635660,-74.325050,300,NJ-03804
12357392255,40.635730,-74.336700,300,NJ-92255
13379217501,40.636840,-74.452020,300,NJ-17501
13441996301,40.637070,-74.264360,300,NJ-96301
13442000101,40.637200,-74.264460,300,NJ-00101
13379209301,40.637270,-74.454040,300,NJ-09301
13047647446,40.638660,-74.286300,300,NJ-47446
13602499402,40.638810,-74.203300,300,NJ-99402
13460823129,40.639790,-74.318500,300,NJ-23129
13341379401,40.640020,-74.451060,300,NJ-79401
13388652501,40.640980,-74.416250,300,NJ-52501
13388653801,40.640990,-74.416190,300,NJ-53801
13312385193,40.641330,-74.419690,300,NJ-85193
13312401875,40.641400,-74.420870,300,NJ-01875
13312387809,40.641800,-74.421390,300,NJ-87809
13460783897,40.642110,-74.358060,300,NJ-83897
13460784699,40.642250,-74.329840,300,NJ-84699
13312410987,40.642370,-74.422300,300,NJ-10987
13312401876,40.642460,-74.422410,300,NJ-01876
13335059801,40.642820,-74.210450,300,NJ-59801
13482535301,40.642900,-74.271990,300,NJ-35301
13507754300,40.643700,-74.289730,300,NJ-54300
13323285402,40.644380,-74.411730,300,NJ-85402
13411792201,40.644760,-74.456550,300,NJ-92201
13312488916,40.645300,-74.519590,300,NJ-88916
13460804768,40.645820,-74.326730,300,NJ-04768
13460823335,40.646290,-74.364580,300,NJ-23335
13507699559,40.647750,-74.293070,300,NJ-99559
13460759549,40.647920,-74.364460,300,NJ-59549
13379214402,40.647980,-74.407850,300,NJ-14402
13379216202,40.648630,-74.407520,300,NJ-16202
13309931760,40.648970,-74.523300,300,NJ-31760
13323235900,40.649070,-74.407140,300,NJ-35900
13339136101,40.650010,-74.454160,300,NJ-36101
13460794604,40.650270,-74.333600,300,NJ-94604
13343638632,40.650430,-74.333120,300,NJ-38632
13460756644,40.651800,-74.348290,300,NJ-56644
13460806427,40.651820,-74.348270,300,NJ-06427
13778134701,40.651990,-74.207650,300,NJ-34701
13460785997,40.652670,-74.330230,300,NJ-85997
13460759242,40.652950,-74.347130,300,NJ-59242
13337597401,40.653920,-74.455370,300,NJ-97401
12879369797,40.653960,-74.404300,300,NJ-69797
13323235898,40.654580,-74.404940,300,NJ-35898
13460809563,40.655370,-74.354750,300,NJ-09563
13460790211,40.655390,-74.369430,300,NJ-90211
13378606001,40.658330,-74.417540,300,NJ-06001
13460808809,40.659640,-74.342760,300,NJ-08809
13320043901,40.660310,-74.204610,300,NJ-43901
13460807778,40.660550,-74.323540,300,NJ-07778
13312439510,40.662810,-74.244790,300,NJ-39510
13312434347,40.662940,-74.244820,300,NJ-34347
13815403588,40.664160,-74.531150,300,NJ-03588
13339607801,40.664580,-74.430790,300,NJ-07801
13460802713,40.665150,-74.356440,300,NJ-02713
13309989702,40.665190,-74.527130,300,NJ-89702
13725349540,40.665890,-74.385040,300,NJ-49540
13859062403,40.666080,-74.234400,300,NJ-62403
13315591992,40.666480,-74.280100,300,NJ-91992
13460533459,40.667540,-74.350390,300,NJ-33459
13460504293,40.667570,-74.350270,300,NJ-04293
13379217301,40.668150,-74.482640,300,NJ-17301
13449469501,40.668210,-74.200130,300,NJ-69501
12792124534,40.668390,-74.368230,300,NJ-24534
13588161996,40.669440,-74.319070,300,NJ-61996
13695684895,40.670250,-74.427410,300,NJ-84895
13517224554,40.672120,-74.320070,300,NJ-24554
13415741964,40.673280,-74.329380,300,NJ-41964
13597967501,40.674090,-74.201360,300,NJ-67501
13688643701,40.677260,-74.286560,300,NJ-43701
13695898961,40.677580,-74.409530,300,NJ-98961
13379215102,40.678020,-74.455870,300,NJ-15102
13315591993,40.678570,-74.287200,300,NJ-91993
13814946917,40.679440,-74.280470,300,NJ-46917
13460730573,40.680660,-74.331450,300,NJ-30573
13796399805,40.680940,-74.527900,300,NJ-99805
13413371201,40.681700,-74.209700,300,NJ-71201
13625924577,40.683140,-74.532080,300,NJ-24577
13778460669,40.683430,-74.442830,300,NJ-60669
13315591994,40.686090,-74.293430,300,NJ-91994
13695740905,40.686800,-74.396990,300,NJ-40905
13413369601,40.687180,-74.204630,300,NJ-69601
13765167928,40.687480,-74.436830,300,NJ-67928
13517207082,40.687660,-74.302980,300,NJ-07082
13735868501,40.687940,-74.310080,300,NJ-68501
13735868001,40.688190,-74.310080,300,NJ-68001
13307127659,40.689340,-74.380200,300,NJ-27659
13809149325,40.690180,-74.470130,300,NJ-49325
13711805897,40.692250,-74.443340,300,NJ-05897
13207032185,40.693130,-74.255710,300,NJ-32185
13207032184,40.695460,-74.257230,300,NJ-32184
13694255414,40.695870,-74.423480,300,NJ-55414
13255253040,40.698000,-74.253780,300,NJ-53040
13255253041,40.698140,-74.253770,300,NJ-53041
13255253042,40.698620,-74.253260,300,NJ-53042
13740370028,40.698920,-74.382480,300,NJ-70028
13712303427,40.699820,-74.423430,300,NJ-03427
13255253039,40.699870,-74.250940,300,NJ-53039
13715132833,40.701380,-74.352700,300,NJ-32833
13809165652,40.702410,-74.405390,300,NJ-65652
13714567514,40.703220,-74.428100,300,NJ-67514
13796198689,40.705070,-74.434680,300,NJ-98689
13453397513,40.706360,-74.249170,300,NJ-97513
13863481101,40.709720,-74.254360,300,NJ-81101
13863481201,40.709740,-74.254230,300,NJ-81201
13715129834,40.711920,-74.338040,300,NJ-29834
13694280284,40.711980,-74.387350,300,NJ-80284
13694244283,40.713270,-74.407170,300,NJ-44283
13812134315,40.716370,-74.335800,300,NJ-34315
13715134404,40.716730,-74.334440,300,NJ-34404
12971981307,40.717160,-74.291190,300,NJ-81307
13715112265,40.718460,-74.336050,300,NJ-12265
13796198683,40.719750,-74.385740,300,NJ-98683
13712024607,40.720270,-74.402100,300,NJ-24607
13711774506,40.720300,-74.401890,300,NJ-74506
13812134318,40.720400,-74.318730,300,NJ-34318
13812134317,40.720450,-74.318780,300,NJ-34317
12971967295,40.721720,-74.291030,300,NJ-67295
13711791204,40.722000,-74.403700,300,NJ-91204
13715151595,40.726280,-74.345180,300,NJ-51595
13715129881,40.727370,-74.347540,300,NJ-29881
13812134314,40.728720,-74.378750,300,NJ-34314
13812134316,40.728800,-74.341980,300,NJ-34316
13712040634,40.729860,-74.380660,300,NJ-40634
13815023201,40.730400,-74.540130,300,NJ-23201
13715160180,40.730920,-74.350620,300,NJ-60180
13588460744,40.732170,-74.543890,300,NJ-60744
13715165338,40.732810,-74.354420,300,NJ-65338
13796198681,40.734480,-74.377620,300,NJ-98681
13715169436,40.735130,-74.370160,300,NJ-69436
13714494799,40.736440,-74.394610,300,NJ-94799
13714554913,40.736560,-74.394580,300,NJ-54913
13796198688,40.737100,-74.425860,300,NJ-98688
12336456790,40.738440,-74.252110,300,NJ-56790
13715180137,40.738560,-74.366450,300,NJ-80137
13815403582,40.739120,-74.362700,300,NJ-03582
13796198686,40.739210,-74.372920,300,NJ-98686
13796178225,40.740540,-74.409920,300,NJ-78225
13715173707,40.740900,-74.361660,300,NJ-73707
13796198687,40.741300,-74.430890,300,NJ-98687
13714538935,40.741480,-74.363250,300,NJ-38935
13796130770,40.744780,-74.424920,300,NJ-30770
13740368211,40.746010,-74.430040,300,NJ-68211
13740368212,40.746010,-74.430040,300,NJ-68212
13796130769,40.746010,-74.430030,300,NJ-30769
13796130768,40.746020,-74.430040,300,NJ-30768
13796198685,40.747070,-74.396180,300,NJ-98685
13796198684,40.747210,-74.396350,300,NJ-98684
13796198682,40.749370,-74.374970,300,NJ-98682
13811943602,40.753960,-74.411170,300,NJ-43602
13796241700,40.755540,-74.434760,300,NJ-41700
13809165634,40.759460,-74.410360,300,NJ-65634
13714500660,40.761470,-74.353610,300,NJ-00660
13815403583,40.762860,-74.330970,300,NJ-03583
13809165633,40.773410,-74.426130,300,NJ-65633
13796399802,40.773760,-74.439900,300,NJ-99802
13796399804,40.773970,-74.467160,300,NJ-99804
13796399801,40.774410,-74.441210,300,NJ-99801
13809149329,40.777460,-74.364190,300,NJ-49329
13809149328,40.780140,-74.371210,300,NJ-49328
13809149327,40.787570,-74.388290,300,NJ-49327
13809149326,40.788090,-74.389440,300,NJ-49326
13809149332,40.788800,-74.456200,300,NJ-49332
13809149331,40.789310,-74.457270,300,NJ-49331
13809149330,40.789480,-74.456040,300,NJ-49330
13809165639,40.795040,-74.389640,300,NJ-65639
13809165635,40.795660,-74.375170,300,NJ-65635
13809149333,40.798890,-74.468980,300,NJ-49333
13809149334,40.799380,-74.469340,300,NJ-49334
13809165641,40.801510,-74.363890,300,NJ-65641
13372404302,40.802390,-74.202110,300,NJ-04302
13372390505,40.802740,-74.202270,300,NJ-90505
13809165640,40.802900,-74.362840,300,NJ-65640
13753575601,40.803120,-74.363860,300,NJ-75601
13796399803,40.807250,-74.462100,300,NJ-99803
13809165646,40.808620,-74.373880,300,NJ-65646
13809165636,40.808950,-74.379060,300,NJ-65636
13809165645,40.808990,-74.374590,300,NJ-65645
13809165637,40.809160,-74.380290,300,NJ-65637
13809165643,40.809800,-74.373180,300,NJ-65643
13809165644,40.810340,-74.374080,300,NJ-65644
13512337803,40.812400,-74.200060,300,NJ-37803
13512371701,40.812520,-74.200180,300,NJ-71701
13458460153,40.813260,-74.395860,300,NJ-60153
13809165638,40.813850,-74.396660,300,NJ-65638
13809149341,40.815440,-74.518500,300,NJ-49341
13809165642,40.815730,-74.387780,300,NJ-65642
13599026901,40.815800,-74.471710,300,NJ-26901
13599027901,40.816000,-74.472800,300,NJ-27901
13772892201,40.816830,-74.473460,300,NJ-92201
103747951,40.817960,-74.279900,300,NJ-47951
13809149339,40.821260,-74.481690,300,NJ-49339
13809149338,40.821780,-74.481060,300,NJ-49338
13809149336,40.822090,-74.481520,300,NJ-49336
13809149335,40.822180,-74.481990,300,NJ-49335
13809149337,40.822270,-74.481210,300,NJ-49337
13809165647,40.824910,-74.383170,300,NJ-65647
13809165651,40.827420,-74.334470,300,NJ-65651
13809165650,40.827710,-74.335260,300,NJ-65650
13753574801,40.827880,-74.335290,300,NJ-74801
13608430001,40.830880,-74.265730,300,NJ-30001
13809149340,40.832770,-74.517880,300,NJ-49340
13809165648,40.833600,-74.345420,300,NJ-65648
13750059001,40.834050,-74.309160,300,NJ-59001
13809165649,40.834370,-74.344220,300,NJ-65649
13765453501,40.834790,-74.259850,300,NJ-53501
13657391401,40.836140,-74.264550,300,NJ-91401
13597154301,40.838850,-74.293170,300,NJ-54301
13657391101,40.846330,-74.259980,300,NJ-91101
13312418785,40.859510,-74.321670,300,NJ-18785
13312457616,40.861830,-74.321660,300,NJ-57616
13599034201,40.864130,-74.372840,300,NJ-34201
13269444088,40.864270,-74.373910,300,NJ-44088
13591307501,40.865070,-74.372210,300,NJ-07501
13599033701,40.865200,-74.373690,300,NJ-33701
13597155201,40.866990,-74.282030,300,NJ-55201
13608435701,40.881480,-74.253190,300,NJ-35701
13338493802,40.886330,-74.255680,300,NJ-93802
13338609001,40.886990,-74.254980,300,NJ-09001
13759766020,40.887750,-74.255330,300,NJ-66020
13863618402,40.888580,-74.247020,300,NJ-18402
13863615301,40.891570,-74.256990,300,NJ-15301
13863618401,40.891590,-74.257020,300,NJ-18401
13863618201,40.891840,-74.257630,300,NJ-18201
13668216501,40.891870,-74.251940,300,NJ-16501
