state,group_id,center_lat,center_lon,radius_m,count,path,label
FL,FL053,28.206686,-81.063849,23358,10,/geo_groups/FL053.csv,FL-053
FL,FL054,28.280885,-81.391488,33361,90,/geo_groups/FL054.csv,FL-054
FL,FL055,28.422847,-82.637152,7638,4,/geo_groups/FL055.csv,FL-055
FL,FL056,28.504774,-82.150690,21257,13,/geo_groups/FL056.csv,FL-056
FL,FL057,28.506852,-82.477888,21796,39,/geo_groups/FL057.csv,FL-057
FL,FL058,28.510904,-80.783857,26407,64,/geo_groups/FL058.csv,FL-058
FL,FL059,28.520582,-81.703734,22839,50,/geo_groups/FL059.csv,FL-059
FL,FL060,28.547820,-81.377460,27472,411,/geo_groups/FL060.csv,FL-060
FL,FL061,28.576523,-81.135172,31145,32,/geo_groups/FL061.csv,FL-061
FL,FL062,28.854112,-81.688403,23404,39,/geo_groups/FL062.csv,FL-062
FL,FL063,28.859256,-82.469092,13817,5,/geo_groups/FL063.csv,FL-063
FL,FL064,28.868413,-81.306402,30462,160,/geo_groups/FL064.csv,FL-064
FL,FL065,28.883646,-82.025545,23123,20,/geo_groups/FL065.csv,FL-065
FL,FL066,28.964004,-80.969528,29424,87,/geo_groups/FL066.csv,FL-066
FL,FL067,29.021920,-82.669065,3032,2,/geo_groups/FL067.csv,FL-067
FL,FL068,29.068010,-82.453340,3000,1,/geo_groups/FL068.csv,FL-068
FL,FL069,29.106989,-81.331962,22448,26,/geo_groups/FL069.csv,FL-069
FL,FL070,29.154545,-82.155854,15976,17,/geo_groups/FL070.csv,FL-070
FL,FL071,29.174827,-81.035754,25851,87,/geo_groups/FL071.csv,FL-071
FL,FL072,29.187890,-81.770295,3003,2,/geo_groups/FL072.csv,FL-072
FL,FL073,29.340960,-83.134150,3000,1,/geo_groups/FL073.csv,FL-073
FL,FL074,29.449724,-81.162856,14664,5,/geo_groups/FL074.csv,FL-074
FL,FL075,29.607699,-81.332769,27193,34,/geo_groups/FL075.csv,FL-075
FL,FL076,29.620926,-82.820361,25171,19,/geo_groups/FL076.csv,FL-076
FL,FL077,29.630858,-82.065507,25124,6,/geo_groups/FL077.csv,FL-077
FL,FL078,29.638582,-81.677796,19698,22,/geo_groups/FL078.csv,FL-078
FL,FL079,29.638761,-82.374551,25335,134,/geo_groups/FL079.csv,FL-079
FL,FL080,29.640487,-83.123397,4868,3,/geo_groups/FL080.csv,FL-080
FL,FL081,29.664480,-83.379070,3000,1,/geo_groups/FL081.csv,FL-081
FL,FL082,29.706980,-85.139757,19643,3,/geo_groups/FL082.csv,FL-082
FL,FL083,29.713583,-84.931386,11373,8,/geo_groups/FL083.csv,FL-083
FL,FL084,29.760575,-84.833020,3008,2,/geo_groups/FL084.csv,FL-084
FL,FL085,29.883278,-82.448372,26630,22,/geo_groups/FL085.csv,FL-085
FL,FL086,29.897554,-82.778327,23622,18,/geo_groups/FL086.csv,FL-086
FL,FL087,29.902407,-85.301061,26019,14,/geo_groups/FL087.csv,FL-087
FL,FL088,29.936352,-82.035320,23775,32,/geo_groups/FL088.csv,FL-088
FL,FL089,29.937218,-81.402398,26389,129,/geo_groups/FL089.csv,FL-089
FL,FL090,29.946371,-84.481192,20195,14,/geo_groups/FL090.csv,FL-090
FL,FL091,29.949480,-83.473412,27882,6,/geo_groups/FL091.csv,FL-091
FL,FL092,29.954300,-85.428890,3000,1,/geo_groups/FL092.csv,FL-092
FL,FL093,29.990453,-83.139023,29630,3,/geo_groups/FL093.csv,FL-093
FL,FL094,30.023700,-81.728609,23350,55,/geo_groups/FL094.csv,FL-094
FL,FL095,30.138151,-83.589753,19865,7,/geo_groups/FL095.csv,FL-095
FL,FL096,30.191955,-85.650123,31126,109,/geo_groups/FL096.csv,FL-096
FL,FL097,30.220802,-82.412343,20347,6,/geo_groups/FL097.csv,FL-097
FL,FL098,30.223952,-81.707432,27761,189,/geo_groups/FL098.csv,FL-098
FL,FL099,30.230041,-82.714453,29140,41,/geo_groups/FL099.csv,FL-099
FL,FL100,30.235264,-85.870357,26627,59,/geo_groups/FL100.csv,FL-100
FL,FL101,30.235886,-81.455991,19773,98,/geo_groups/FL101.csv,FL-101
FL,FL102,30.250120,-82.084773,23273,22,/geo_groups/FL102.csv,FL-102
FL,FL103,30.257181,-84.431470,31266,26,/geo_groups/FL103.csv,FL-103
FL,FL104,30.281887,-87.517177,3063,3,/geo_groups/FL104.csv,FL-104
FL,FL105,30.312101,-83.042338,26827,24,/geo_groups/FL105.csv,FL-105
FL,FL106,30.318285,-85.297313,18601,4,/geo_groups/FL106.csv,FL-106
FL,FL107,30.320264,-83.916325,23038,8,/geo_groups/FL107.csv,FL-107
FL,FL108,30.372569,-86.256811,19586,43,/geo_groups/FL108.csv,FL-108
FL,FL109,30.385359,-84.257487,30886,134,/geo_groups/FL109.csv,FL-109
