id,lat,lon,radius_m,label
13650316601,30.314800,-87.478110,300,FL-16601
13700111201,30.325850,-87.195240,300,FL-11201
13700109701,30.325920,-87.195190,300,FL-09701
13648676801,30.340800,-87.403280,300,FL-76801
13682601445,30.343970,-87.150490,300,FL-01445
13754093401,30.358280,-87.157340,300,FL-93401
13648728801,30.358430,-87.156760,300,FL-28801
13431534401,30.358930,-87.166150,300,FL-34401
13431535101,30.359000,-87.166830,300,FL-35101
13431535701,30.365540,-87.169880,300,FL-35701
13431534402,30.366040,-87.170600,300,FL-34402
13430422801,30.373850,-87.177710,300,FL-22801
13648886701,30.380750,-87.308580,300,FL-86701
13610183501,30.388280,-87.274300,300,FL-83501
13610209601,30.393810,-87.281130,300,FL-09601
13607910701,30.393920,-87.282640,300,FL-10701
13453018701,30.394380,-87.254190,300,FL-18701
13602985157,30.397770,-87.400340,300,FL-85157
13648825501,30.409730,-87.213740,300,FL-25501
13648822101,30.411110,-87.215810,300,FL-22101
13648820901,30.411200,-87.215620,300,FL-20901
13648813919,30.411330,-87.215750,300,FL-13919
13648820701,30.411430,-87.215850,300,FL-20701
13648820902,30.411810,-87.216430,300,FL-20902
13648825702,30.411820,-87.213280,300,FL-25702
13648824401,30.412090,-87.216640,300,FL-24401
13648824101,30.412110,-87.216500,300,FL-24101
13699872101,30.416940,-87.295470,300,FL-72101
13700050301,30.416980,-87.291510,300,FL-50301
13580765701,30.418150,-87.230830,300,FL-65701
13580767301,30.418270,-87.229840,300,FL-67301
13685883301,30.420250,-87.231440,300,FL-83301
13826033501,30.420750,-87.240070,300,FL-33501
13615527601,30.420870,-87.304340,300,FL-27601
13615531901,30.420890,-87.305480,300,FL-31901
13904434501,30.420990,-87.324370,300,FL-34501
13861198003,30.433750,-87.272560,300,FL-98003
13861198103,30.434210,-87.272690,300,FL-98103
13861208401,30.435040,-87.271360,300,FL-08401
13648898601,30.446440,-87.288450,300,FL-98601
