id,lat,lon,radius_m,label
13422843005,31.564930,-83.252720,300,GA-43005
13422943702,31.581100,-83.061720,300,GA-43702
13429289002,31.584870,-83.075320,300,GA-89002
13422828301,31.586530,-83.250650,300,GA-28301
13429275502,31.592730,-83.223220,300,GA-75502
13422879601,31.592860,-83.233460,300,GA-79601
13422842302,31.594230,-83.259380,300,GA-42302
13422842303,31.610900,-83.262210,300,GA-42303
13422859002,31.635430,-83.247990,300,GA-59002
13422859003,31.680120,-83.261280,300,GA-59003
13422885301,31.693040,-83.245300,300,GA-85301
13422897102,31.763640,-82.998230,300,GA-97102
13422924001,31.837120,-83.208640,300,GA-24001
