id,lat,lon,radius_m,label
13665432802,34.654240,-80.652430,300,SC-32802
13571397101,34.678440,-80.738980,300,SC-97101
13556797801,34.678520,-80.762270,300,SC-97801
13391781001,34.681380,-80.639260,300,SC-81001
13418382933,34.687920,-80.782570,300,SC-82933
13556798401,34.691370,-80.761360,300,SC-98401
13795701501,34.692300,-80.741760,300,SC-01501
13564714601,34.693510,-80.789980,300,SC-14601
13564715901,34.693510,-80.789980,300,SC-15901
13547403401,34.700040,-80.773870,300,SC-03401
13795696201,34.700940,-80.796600,300,SC-96201
13556797001,34.702450,-80.763650,300,SC-97001
13590814801,34.704510,-80.784450,300,SC-14801
13591067901,34.705510,-80.766090,300,SC-67901
13564652201,34.710480,-80.784640,300,SC-52201
13564631802,34.713350,-80.766340,300,SC-31802
13594007801,34.714940,-80.764780,300,SC-07801
13717431201,34.716650,-80.847550,300,SC-31201
13613015201,34.719690,-80.763920,300,SC-15201
13608607501,34.720160,-80.770850,300,SC-07501
13355919902,34.735200,-80.788880,300,SC-19902
13588297628,34.743930,-80.627190,300,SC-97628
13812261501,34.754100,-80.555950,300,SC-61501
13352054501,34.794630,-80.797890,300,SC-54501
13347838701,34.794910,-80.797780,300,SC-38701
13332576701,34.796780,-80.827360,300,SC-76701
13347836301,34.796980,-80.827030,300,SC-36301
13370233601,34.804350,-80.735100,300,SC-33601
13450214401,34.808890,-80.585900,300,SC-14401
13468818201,34.836450,-80.807700,300,SC-18201
13330406601,34.837610,-80.828180,300,SC-06601
13423996001,34.920680,-80.787700,300,SC-96001
13468815801,34.920790,-80.791630,300,SC-15801
13522987201,34.930500,-80.833930,300,SC-87201
13700086601,34.942010,-80.816810,300,SC-86601
13302004701,34.944660,-80.842220,300,SC-04701
13301986801,34.945500,-80.843070,300,SC-86801
13366064201,34.990890,-80.836430,300,SC-64201
