id,lat,lon,radius_m,label
13623866402,42.095480,-72.312290,300,MA-66402
13706414328,42.100130,-72.316510,300,MA-14328
13363768058,42.108510,-72.334270,300,MA-68058
13470716149,42.113930,-72.296230,300,MA-16149
12913579815,42.146820,-72.143810,300,MA-79815
13735753801,42.153750,-72.371760,300,MA-53801
13735752701,42.153750,-72.371750,300,MA-52701
12946612164,42.158250,-72.425060,300,MA-12164
6040835547,42.159900,-72.419270,300,MA-35547
6040835546,42.160210,-72.419010,300,MA-35546
13343538741,42.172530,-72.430580,300,MA-38741
6040835545,42.180340,-72.205200,300,MA-35545
69988650,42.180470,-72.205110,300,MA-88650
13685119601,42.239060,-72.277560,300,MA-19601
