id,lat,lon,radius_m,label
12586224486,34.680310,-79.884880,300,SC-24486
12586224482,34.680680,-79.884890,300,SC-24482
12586224483,34.684460,-79.912310,300,SC-24483
12586224475,34.684710,-79.912030,300,SC-24475
12586224485,34.688930,-79.893120,300,SC-24485
12586224484,34.689650,-79.897950,300,SC-24484
13706901247,34.692040,-79.899710,300,SC-01247
12586224476,34.693010,-79.908990,300,SC-24476
12586224481,34.693310,-79.910980,300,SC-24481
12586224488,34.694160,-79.881070,300,SC-24488
12586224479,34.695190,-79.881760,300,SC-24479
13706955909,34.695230,-79.881230,300,SC-55909
12586224489,34.697050,-79.880430,300,SC-24489
13706930377,34.697240,-79.884250,300,SC-30377
13639897606,34.697680,-79.902940,300,SC-97606
13706930376,34.699600,-79.885870,300,SC-30376
13639897112,34.701010,-79.891950,300,SC-97112
13706928662,34.701040,-79.899260,300,SC-28662
13706924820,34.703310,-79.907520,300,SC-24820
12586224487,34.703500,-79.921810,300,SC-24487
12586224477,34.703560,-79.922030,300,SC-24477
13706928663,34.703730,-79.901500,300,SC-28663
12439666654,34.705520,-79.880730,300,SC-66654
12439655038,34.705550,-79.880660,300,SC-55038
12439659825,34.707220,-79.891880,300,SC-59825
12586224490,34.708800,-79.895810,300,SC-24490
12586224480,34.708970,-79.895820,300,SC-24480
12586224478,34.709030,-79.894980,300,SC-24478
12439618066,34.714190,-79.903040,300,SC-18066
12439618067,34.714400,-79.903100,300,SC-18067
